review_id,order_id,review_score,review_comment
R000081,O000117,5,"Highly recommend to everyone."
R000082,O000118,5,"প্যাকেজিং চমৎকার ছিল।"
R000083,O000120,2,"Not satisfied with the quality."
R000084,O000121,3,"Average quality, expected better."
R000085,O000123,4,"ডেলিভারি সময়মতো হয়েছে।"
R000086,O000124,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000087,O000126,5,"Excellent product! Very happy with the purchase."
R000088,O000127,5,"দ্রুত ডেলিভারি মান ভালো।"
R000089,O000128,2,"ডেলিভারি দেরিতে হয়েছে।"
R000090,O000130,3,"কোনো বিশেষ মন্তব্য নেই।"
R000091,O000131,4,"Good quality overall."
R000092,O000133,4,"Satisfied with the product."
R000093,O000134,5,"Excellent product, very happy with the purchase."
R000094,O000136,5,"Highly recommend to everyone."
R000095,O000137,2,"পণ্যের মান আশানুরূপ নয়।"
R000096,O000139,3,"Product is okay."
R000097,O000140,4,"Decent product for the price."
R000098,O000142,4,"ডেলিভারি সময়মতো হয়েছে।"
R000099,O000143,5,"প্যাকেজিং চমৎকার ছিল।"
R000100,O000144,1,"খুবই খারাপ অভিজ্ঞতা।"
R000101,O000146,2,"Not satisfied with the quality."
R000102,O000147,3,"মোটামুটি পণ্য।"
R000103,O000149,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000104,O000150,4,"Good quality overall."
R000105,O000152,5,"Excellent product! Very happy with the purchase."
R000106,O000153,1,"Very disappointed."
R000107,O000155,2,"ডেলিভারি দেরিতে হয়েছে।"
R000108,O000156,3,"Average quality, expected better."
R000109,O000157,4,"Satisfied with the product."
R000110,O000159,5,"দ্রুত ডেলিভারি মান ভালো।"
R000111,O000160,5,"Excellent product, very happy with the purchase."
R000112,O000162,1,"পণ্য ক্ষতিগ্রস্ত অবস্থায় পৌঁছেছে।"
R000113,O000163,3,"কোনো বিশেষ মন্তব্য নেই।"
R000114,O000165,3,"Product is okay."
R000115,O000166,4,"Decent product for the price."
R000116,O000168,5,"Highly recommend to everyone."
R000117,O000169,5,"প্যাকেজিং চমৎকার ছিল।"
R000118,O000171,1,"খুবই খারাপ অভিজ্ঞতা।"
R000119,O000172,3,"মোটামুটি পণ্য।"
R000120,O000173,4,"ডেলিভারি সময়মতো হয়েছে।"
R000121,O000175,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000122,O000176,5,"Excellent product! Very happy with the purchase."
R000123,O000178,5,"দ্রুত ডেলিভারি মান ভালো।"
R000124,O000179,1,"Very disappointed."
R000125,O000181,3,"Average quality, expected better."
R000126,O000182,4,"Good quality overall."
R000127,O000184,4,"Satisfied with the product."
R000128,O000185,5,"Excellent product, very happy with the purchase."
R000129,O000186,5,"Highly recommend to everyone."
R000130,O000188,2,"পণ্যের মান আশানুরূপ নয়।"
R000131,O000189,3,"কোনো বিশেষ মন্তব্য নেই।"
R000132,O000191,4,"Decent product for the price."
R000133,O000192,4,"ডেলিভারি সময়মতো হয়েছে।"
R000134,O000194,5,"প্যাকেজিং চমৎকার ছিল।"
R000135,O000195,5,"Excellent product! Very happy with the purchase."
R000136,O000197,2,"Not satisfied with the quality."
R000137,O000198,3,"Product is okay."
R000138,O000200,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000139,O000201,4,"Good quality overall."
R000140,O000202,5,"দ্রুত ডেলিভারি মান ভালো।"
R000141,O000204,5,"Excellent product, very happy with the purchase."
R000142,O000205,2,"ডেলিভারি দেরিতে হয়েছে।"
R000143,O000207,3,"মোটামুটি পণ্য।"
R000144,O000208,4,"Satisfied with the product."
R000145,O000210,4,"Decent product for the price."
R000146,O000211,5,"Highly recommend to everyone."
R000147,O000213,5,"প্যাকেজিং চমৎকার ছিল।"
R000148,O000214,2,"পণ্যের মান আশানুরূপ নয়।"
R000149,O000215,3,"Average quality, expected better."
R000150,O000217,4,"ডেলিভারি সময়মতো হয়েছে।"
R000151,O000218,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000152,O000220,5,"Excellent product! Very happy with the purchase."
R000153,O000221,1,"পণ্য ক্ষতিগ্রস্ত অবস্থায় পৌঁছেছে।"
R000154,O000223,2,"Not satisfied with the quality."
R000155,O000224,3,"কোনো বিশেষ মন্তব্য নেই।"
R000156,O000226,4,"Good quality overall."
R000157,O000227,4,"Satisfied with the product."
R000158,O000228,5,"দ্রুত ডেলিভারি মান ভালো।"
R000159,O000230,1,"খুবই খারাপ অভিজ্ঞতা।"
R000160,O000231,3,"Product is okay."
R000161,O000233,3,"মোটামুটি পণ্য।"
R000162,O000234,4,"Decent product for the price."
R000163,O000236,5,"Excellent product, very happy with the purchase."
R000164,O000237,5,"Highly recommend to everyone."
R000165,O000239,1,"Very disappointed."
R000166,O000240,3,"Average quality, expected better."
R000167,O000242,3,"কোনো বিশেষ মন্তব্য নেই।"
R000168,O000243,4,"ডেলিভারি সময়মতো হয়েছে।"
R000169,O000244,5,"প্যাকেজিং চমৎকার ছিল।"
R000170,O000246,5,"Excellent product! Very happy with the purchase."
R000171,O000247,1,"পণ্য ক্ষতিগ্রস্ত অবস্থায় পৌঁছেছে।"
R000172,O000249,3,"Product is okay."
R000173,O000250,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000174,O000252,4,"Good quality overall."
R000175,O000253,5,"দ্রুত ডেলিভারি মান ভালো।"
R000176,O000255,5,"Excellent product, very happy with the purchase."
R000177,O000256,1,"খুবই খারাপ অভিজ্ঞতা।"
R000178,O000257,3,"মোটামুটি পণ্য।"
R000179,O000259,4,"Satisfied with the product."
R000180,O000260,4,"Decent product for the price."
R000181,O000262,5,"Highly recommend to everyone."
R000182,O000263,5,"প্যাকেজিং চমৎকার ছিল।"
R000183,O000265,2,"ডেলিভারি দেরিতে হয়েছে।"
R000184,O000266,3,"Average quality, expected better."
R000185,O000268,4,"ডেলিভারি সময়মতো হয়েছে।"
R000186,O000269,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000187,O000271,5,"Excellent product! Very happy with the purchase."
R000188,O000272,5,"দ্রুত ডেলিভারি মান ভালো।"
R000189,O000273,2,"পণ্যের মান আশানুরূপ নয়।"
R000190,O000275,3,"কোনো বিশেষ মন্তব্য নেই।"
R000191,O000276,4,"Good quality overall."
R000192,O000278,4,"Satisfied with the product."
R000193,O000279,5,"Excellent product, very happy with the purchase."
R000194,O000281,5,"Highly recommend to everyone."
R000195,O000282,2,"Not satisfied with the quality."
R000196,O000284,3,"Product is okay."
R000197,O000285,4,"Decent product for the price."
R000198,O000286,4,"ডেলিভারি সময়মতো হয়েছে।"
R000199,O000288,5,"প্যাকেজিং চমৎকার ছিল।"
R000200,O000289,1,"Very disappointed."
R000201,O000291,2,"ডেলিভারি দেরিতে হয়েছে।"
R000202,O000292,3,"মোটামুটি পণ্য।"
R000203,O000294,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000204,O000295,4,"Good quality overall."
R000205,O000297,5,"Excellent product! Very happy with the purchase."
R000206,O000298,1,"পণ্য ক্ষতিগ্রস্ত অবস্থায় পৌঁছেছে।"
R000207,O000300,2,"পণ্যের মান আশানুরূপ নয়।"
R000208,O000301,3,"Average quality, expected better."
R000209,O000302,4,"Satisfied with the product."
R000210,O000304,5,"দ্রুত ডেলিভারি মান ভালো।"
R000211,O000305,5,"Excellent product, very happy with the purchase."
R000212,O000307,1,"খুবই খারাপ অভিজ্ঞতা।"
R000213,O000308,3,"কোনো বিশেষ মন্তব্য নেই।"
R000214,O000310,3,"Product is okay."
R000215,O000311,4,"Decent product for the price."
R000216,O000313,5,"Highly recommend to everyone."
R000217,O000314,5,"প্যাকেজিং চমৎকার ছিল।"
R000218,O000315,1,"Very disappointed."
R000219,O000317,3,"মোটামুটি পণ্য।"
R000220,O000318,4,"ডেলিভারি সময়মতো হয়েছে।"
R000221,O000320,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000222,O000321,5,"Excellent product! Very happy with the purchase."
R000223,O000323,5,"দ্রুত ডেলিভারি মান ভালো।"
R000224,O000324,1,"পণ্য ক্ষতিগ্রস্ত অবস্থায় পৌঁছেছে।"
R000225,O000326,3,"Average quality, expected better."
R000226,O000327,4,"Good quality overall."
R000227,O000328,4,"Satisfied with the product."
R000228,O000330,5,"Excellent product, very happy with the purchase."
R000229,O000331,5,"Highly recommend to everyone."
R000230,O000333,2,"Not satisfied with the quality."
R000231,O000334,3,"কোনো বিশেষ মন্তব্য নেই।"
R000232,O000336,4,"Decent product for the price."
R000233,O000337,4,"ডেলিভারি সময়মতো হয়েছে।"
R000234,O000339,5,"প্যাকেজিং চমৎকার ছিল।"
R000235,O000340,5,"Excellent product! Very happy with the purchase."
R000236,O000342,2,"ডেলিভারি দেরিতে হয়েছে।"
R000237,O000343,3,"Product is okay."
R000238,O000344,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000239,O000346,4,"Good quality overall."
R000240,O000347,5,"দ্রুত ডেলিভারি মান ভালো।"
R000241,O000349,5,"Excellent product, very happy with the purchase."
R000242,O000350,2,"পণ্যের মান আশানুরূপ নয়।"
R000243,O000352,3,"মোটামুটি পণ্য।"
R000244,O000353,4,"Satisfied with the product."
R000245,O000355,4,"Decent product for the price."
R000246,O000356,5,"Highly recommend to everyone."
R000247,O000357,5,"প্যাকেজিং চমৎকার ছিল।"
R000248,O000359,2,"Not satisfied with the quality."
R000249,O000360,3,"Average quality, expected better."
R000250,O000362,4,"ডেলিভারি সময়মতো হয়েছে।"
R000251,O000363,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000252,O000365,5,"Excellent product! Very happy with the purchase."
R000253,O000366,1,"খুবই খারাপ অভিজ্ঞতা।"
R000254,O000368,2,"ডেলিভারি দেরিতে হয়েছে।"
R000255,O000369,3,"কোনো বিশেষ মন্তব্য নেই।"
R000256,O000371,4,"Good quality overall."
R000257,O000372,4,"Satisfied with the product."
R000258,O000373,5,"দ্রুত ডেলিভারি মান ভালো।"
R000259,O000375,1,"Very disappointed."
R000260,O000376,3,"Product is okay."
R000261,O000378,3,"মোটামুটি পণ্য।"
R000262,O000379,4,"Decent product for the price."
R000263,O000381,5,"Excellent product, very happy with the purchase."
R000264,O000382,5,"Highly recommend to everyone."
R000265,O000384,1,"পণ্য ক্ষতিগ্রস্ত অবস্থায় পৌঁছেছে।"
R000266,O000385,3,"Average quality, expected better."
R000267,O000386,3,"কোনো বিশেষ মন্তব্য নেই।"
R000268,O000388,4,"ডেলিভারি সময়মতো হয়েছে।"
R000269,O000389,5,"প্যাকেজিং চমৎকার ছিল।"
R000270,O000391,5,"Excellent product! Very happy with the purchase."
R000271,O000392,1,"খুবই খারাপ অভিজ্ঞতা।"
R000272,O000394,3,"Product is okay."
R000273,O000395,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000274,O000397,4,"Good quality overall."
R000275,O000398,5,"দ্রুত ডেলিভারি মান ভালো।"
R000276,O000400,5,"Excellent product, very happy with the purchase."
R000277,O000401,1,"Very disappointed."
R000278,O000402,3,"মোটামুটি পণ্য।"
R000279,O000404,4,"Satisfied with the product."
R000280,O000405,4,"Decent product for the price."
R000281,O000407,5,"Highly recommend to everyone."
R000282,O000408,5,"প্যাকেজিং চমৎকার ছিল।"
R000283,O000410,2,"পণ্যের মান আশানুরূপ নয়।"
R000284,O000411,3,"Average quality, expected better."
R000285,O000413,4,"ডেলিভারি সময়মতো হয়েছে।"
R000286,O000414,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000287,O000415,5,"Excellent product! Very happy with the purchase."
R000288,O000417,5,"দ্রুত ডেলিভারি মান ভালো।"
R000289,O000418,2,"Not satisfied with the quality."
R000290,O000420,3,"কোনো বিশেষ মন্তব্য নেই।"
R000291,O000421,4,"Good quality overall."
R000292,O000423,4,"Satisfied with the product."
R000293,O000424,5,"Excellent product, very happy with the purchase."
R000294,O000426,5,"Highly recommend to everyone."
R000295,O000427,2,"ডেলিভারি দেরিতে হয়েছে।"
R000296,O000428,3,"Product is okay."
R000297,O000430,4,"Decent product for the price."
R000298,O000431,4,"ডেলিভারি সময়মতো হয়েছে।"
R000299,O000433,5,"প্যাকেজিং চমৎকার ছিল।"
R000300,O000434,1,"পণ্য ক্ষতিগ্রস্ত অবস্থায় পৌঁছেছে।"
R000301,O000436,2,"পণ্যের মান আশানুরূপ নয়।"
R000302,O000437,3,"মোটামুটি পণ্য।"
R000303,O000439,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000304,O000440,4,"Good quality overall."
R000305,O000442,5,"Excellent product! Very happy with the purchase."
R000306,O000443,1,"খুবই খারাপ অভিজ্ঞতা।"
R000307,O000444,2,"Not satisfied with the quality."
R000308,O000446,3,"Average quality, expected better."
R000309,O000447,4,"Satisfied with the product."
R000310,O000449,5,"দ্রুত ডেলিভারি মান ভালো।"
R000311,O000450,5,"Excellent product, very happy with the purchase."
R000312,O000452,1,"Very disappointed."
R000313,O000453,3,"কোনো বিশেষ মন্তব্য নেই।"
R000314,O000455,3,"Product is okay."
R000315,O000456,4,"Decent product for the price."
R000316,O000457,5,"Highly recommend to everyone."
R000317,O000459,5,"প্যাকেজিং চমৎকার ছিল।"
R000318,O000460,1,"পণ্য ক্ষতিগ্রস্ত অবস্থায় পৌঁছেছে।"
R000319,O000462,3,"মোটামুটি পণ্য।"
R000320,O000463,4,"ডেলিভারি সময়মতো হয়েছে।"
R000321,O000465,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000322,O000466,5,"Excellent product! Very happy with the purchase."
R000323,O000468,5,"দ্রুত ডেলিভারি মান ভালো।"
R000324,O000469,1,"খুবই খারাপ অভিজ্ঞতা।"
R000325,O000471,3,"Average quality, expected better."
R000326,O000472,4,"Good quality overall."
R000327,O000473,4,"Satisfied with the product."
R000328,O000475,5,"Excellent product, very happy with the purchase."
R000329,O000476,5,"Highly recommend to everyone."
R000330,O000478,2,"ডেলিভারি দেরিতে হয়েছে।"
R000331,O000479,3,"কোনো বিশেষ মন্তব্য নেই।"
R000332,O000481,4,"Decent product for the price."
R000333,O000482,4,"ডেলিভারি সময়মতো হয়েছে।"
R000334,O000484,5,"প্যাকেজিং চমৎকার ছিল।"
R000335,O000485,5,"Excellent product! Very happy with the purchase."
R000336,O000486,2,"পণ্যের মান আশানুরূপ নয়।"
R000337,O000488,3,"Product is okay."
R000338,O000489,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000339,O000491,4,"Good quality overall."
R000340,O000492,5,"দ্রুত ডেলিভারি মান ভালো।"
R000341,O000494,5,"Excellent product, very happy with the purchase."
R000342,O000495,2,"Not satisfied with the quality."
R000343,O000497,3,"মোটামুটি পণ্য।"
R000344,O000498,4,"Satisfied with the product."
R000345,O000500,4,"Decent product for the price."
R000346,O000501,5,"Highly recommend to everyone."
R000347,O000502,5,"প্যাকেজিং চমৎকার ছিল।"
R000348,O000504,2,"ডেলিভারি দেরিতে হয়েছে।"
R000349,O000505,3,"Average quality, expected better."
R000350,O000507,4,"ডেলিভারি সময়মতো হয়েছে।"
R000351,O000508,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000352,O000510,5,"Excellent product! Very happy with the purchase."
R000353,O000511,1,"Very disappointed."
R000354,O000513,2,"পণ্যের মান আশানুরূপ নয়।"
R000355,O000514,3,"কোনো বিশেষ মন্তব্য নেই।"
R000356,O000515,4,"Good quality overall."
R000357,O000517,4,"Satisfied with the product."
R000358,O000518,5,"দ্রুত ডেলিভারি মান ভালো।"
R000359,O000520,1,"পণ্য ক্ষতিগ্রস্ত অবস্থায় পৌঁছেছে।"
R000360,O000521,3,"Product is okay."
R000361,O000523,3,"মোটামুটি পণ্য।"
R000362,O000524,4,"Decent product for the price."
R000363,O000526,5,"Excellent product, very happy with the purchase."
R000364,O000527,5,"Highly recommend to everyone."
R000365,O000528,1,"খুবই খারাপ অভিজ্ঞতা।"
R000366,O000530,3,"Average quality, expected better."
R000367,O000531,3,"কোনো বিশেষ মন্তব্য নেই।"
R000368,O000533,4,"ডেলিভারি সময়মতো হয়েছে।"
R000369,O000534,5,"প্যাকেজিং চমৎকার ছিল।"
R000370,O000536,5,"Excellent product! Very happy with the purchase."
R000371,O000537,1,"Very disappointed."
R000372,O000539,3,"Product is okay."
R000373,O000540,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000374,O000542,4,"Good quality overall."
R000375,O000543,5,"দ্রুত ডেলিভারি মান ভালো।"
R000376,O000544,5,"Excellent product, very happy with the purchase."
R000377,O000546,1,"পণ্য ক্ষতিগ্রস্ত অবস্থায় পৌঁছেছে।"
R000378,O000547,3,"মোটামুটি পণ্য।"
R000379,O000549,4,"Satisfied with the product."
R000380,O000550,4,"Decent product for the price."
R000381,O000552,5,"Highly recommend to everyone."
R000382,O000553,5,"প্যাকেজিং চমৎকার ছিল।"
R000383,O000555,2,"Not satisfied with the quality."
R000384,O000556,3,"Average quality, expected better."
R000385,O000557,4,"ডেলিভারি সময়মতো হয়েছে।"
R000386,O000559,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000387,O000560,5,"Excellent product! Very happy with the purchase."
R000388,O000562,5,"দ্রুত ডেলিভারি মান ভালো।"
R000389,O000563,2,"ডেলিভারি দেরিতে হয়েছে।"
R000390,O000565,3,"কোনো বিশেষ মন্তব্য নেই।"
R000391,O000566,4,"Good quality overall."
R000392,O000568,4,"Satisfied with the product."
R000393,O000569,5,"Excellent product, very happy with the purchase."
R000394,O000571,5,"Highly recommend to everyone."
R000395,O000572,2,"পণ্যের মান আশানুরূপ নয়।"
R000396,O000573,3,"Product is okay."
R000397,O000575,4,"Decent product for the price."
R000398,O000576,4,"ডেলিভারি সময়মতো হয়েছে।"
R000399,O000578,5,"প্যাকেজিং চমৎকার ছিল।"
R000400,O000579,1,"খুবই খারাপ অভিজ্ঞতা।"
R000401,O000581,2,"Not satisfied with the quality."
R000402,O000582,3,"মোটামুটি পণ্য।"
R000403,O000584,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000404,O000585,4,"Good quality overall."
R000405,O000586,5,"Excellent product! Very happy with the purchase."
R000406,O000588,1,"Very disappointed."
R000407,O000589,2,"ডেলিভারি দেরিতে হয়েছে।"
R000408,O000591,3,"Average quality, expected better."
R000409,O000592,4,"Satisfied with the product."
R000410,O000594,5,"দ্রুত ডেলিভারি মান ভালো।"
R000411,O000595,5,"Excellent product, very happy with the purchase."
R000412,O000597,1,"পণ্য ক্ষতিগ্রস্ত অবস্থায় পৌঁছেছে।"
R000413,O000598,3,"কোনো বিশেষ মন্তব্য নেই।"
R000414,O000600,3,"Product is okay."
R000415,O000601,4,"Decent product for the price."
R000416,O000602,5,"Highly recommend to everyone."
R000417,O000604,5,"প্যাকেজিং চমৎকার ছিল।"
R000418,O000605,1,"খুবই খারাপ অভিজ্ঞতা।"
R000419,O000607,3,"মোটামুটি পণ্য।"
R000420,O000608,4,"ডেলিভারি সময়মতো হয়েছে।"
R000421,O000610,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000422,O000611,5,"Excellent product! Very happy with the purchase."
R000423,O000613,5,"দ্রুত ডেলিভারি মান ভালো।"
R000424,O000614,1,"Very disappointed."
R000425,O000615,3,"Average quality, expected better."
R000426,O000617,4,"Good quality overall."
R000427,O000618,4,"Satisfied with the product."
R000428,O000620,5,"Excellent product, very happy with the purchase."
R000429,O000621,5,"Highly recommend to everyone."
R000430,O000623,2,"পণ্যের মান আশানুরূপ নয়।"
R000431,O000624,3,"কোনো বিশেষ মন্তব্য নেই।"
R000432,O000626,4,"Decent product for the price."
R000433,O000627,4,"ডেলিভারি সময়মতো হয়েছে।"
R000434,O000628,5,"প্যাকেজিং চমৎকার ছিল।"
R000435,O000630,5,"Excellent product! Very happy with the purchase."
R000436,O000631,2,"Not satisfied with the quality."
R000437,O000633,3,"Product is okay."
R000438,O000634,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000439,O000636,4,"Good quality overall."
R000440,O000637,5,"দ্রুত ডেলিভারি মান ভালো।"
R000441,O000639,5,"Excellent product, very happy with the purchase."
R000442,O000640,2,"ডেলিভারি দেরিতে হয়েছে।"
R000443,O000642,3,"মোটামুটি পণ্য।"
R000444,O000643,4,"Satisfied with the product."
R000445,O000644,4,"Decent product for the price."
R000446,O000646,5,"Highly recommend to everyone."
R000447,O000647,5,"প্যাকেজিং চমৎকার ছিল।"
R000448,O000649,2,"পণ্যের মান আশানুরূপ নয়।"
R000449,O000650,3,"Average quality, expected better."
R000450,O000652,4,"ডেলিভারি সময়মতো হয়েছে।"
R000451,O000653,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000452,O000655,5,"Excellent product! Very happy with the purchase."
R000453,O000656,1,"পণ্য ক্ষতিগ্রস্ত অবস্থায় পৌঁছেছে।"
R000454,O000657,2,"Not satisfied with the quality."
R000455,O000659,3,"কোনো বিশেষ মন্তব্য নেই।"
R000456,O000660,4,"Good quality overall."
R000457,O000662,4,"Satisfied with the product."
R000458,O000663,5,"দ্রুত ডেলিভারি মান ভালো।"
R000459,O000665,1,"খুবই খারাপ অভিজ্ঞতা।"
R000460,O000666,3,"Product is okay."
R000461,O000668,3,"মোটামুটি পণ্য।"
R000462,O000669,4,"Decent product for the price."
R000463,O000671,5,"Excellent product, very happy with the purchase."
R000464,O000672,5,"Highly recommend to everyone."
R000465,O000673,1,"Very disappointed."
R000466,O000675,3,"Average quality, expected better."
R000467,O000676,3,"কোনো বিশেষ মন্তব্য নেই।"
R000468,O000678,4,"ডেলিভারি সময়মতো হয়েছে।"
R000469,O000679,5,"প্যাকেজিং চমৎকার ছিল।"
R000470,O000681,5,"Excellent product! Very happy with the purchase."
R000471,O000682,1,"পণ্য ক্ষতিগ্রস্ত অবস্থায় পৌঁছেছে।"
R000472,O000684,3,"Product is okay."
R000473,O000685,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
R000474,O000686,4,"Good quality overall."
R000475,O000688,5,"দ্রুত ডেলিভারি মান ভালো।"
R000476,O000689,5,"Excellent product, very happy with the purchase."
R000477,O000691,1,"খুবই খারাপ অভিজ্ঞতা।"
R000478,O000692,3,"মোটামুটি পণ্য।"
R000479,O000694,4,"Satisfied with the product."
R000480,O000695,4,"Decent product for the price."
R000481,O000697,5,"Highly recommend to everyone."
R000482,O000698,5,"প্যাকেজিং চমৎকার ছিল।"
R000483,O000700,2,"ডেলিভারি দেরিতে হয়েছে।"
R000484,O000701,3,"Average quality, expected better."
R000485,O000702,4,"ডেলিভারি সময়মতো হয়েছে।"
R000486,O000704,4,"মান ভালো তবে প্যাকেজিং আরেকটু ভালো হতে পারতো।"
